international_total_gross,domestic_total_gross,rank,movie_title,max_theaters,opening_theathers,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating,link_stub
1261000,1261000,906,From Beyond,190.0,190.0,0,514417,0,19861024,85.0,Empire Pictures,Horror SciFi,,/title/tt0091083/?ref_=bo_ge_table_6
1238080,1238080,907,Car 54 Where Are You?,608.0,608.0,0,791182,0,19940128,89.0,Orion Pictures,Comedy,,/title/tt0109376/?ref_=bo_ge_table_7
4595977,1186538,908,Dylan Dog: Dead of Night,875.0,875.0,5782515,754779,0,20110316,108.0,Omni Lab/Freestyle Releasing,Action Comedy Crime Fantasy Horror Mystery Thriller,PG13,/title/tt1013860/?ref_=bo_ge_table_8
1179002,1179002,909,Nightwatch,300.0,300.0,0,585733,0,19980417,101.0,Miramax,Drama Horror Thriller,R,/title/tt0119791/?ref_=bo_ge_table_9
1149470,1149470,910,Nightflyers,,,0,0,0,19871023,89.0,New Century,Horror Mystery SciFi Thriller,,/title/tt0093626/?ref_=bo_ge_table_10
2225539,1060377,911,Wonderstruck,261.0,4.0,3285916,65882,0,20171020,116.0,Roadside Attractions,Adventure Drama Mystery,PG,/title/tt5208216/?ref_=bo_ge_table_11
1007306,1007306,912,Mystery Science Theater 3000: The Movie,26.0,26.0,0,206328,0,19960419,73.0,Gramercy Pictures (I),Comedy Drama Fantasy Horror Mystery SciFi Thriller,PG13,/title/tt0117128/?ref_=bo_ge_table_12
2007858,1000045,913,Cowboy Bebop: The Movie,29.0,19.0,3007903,234429,0,20030306,115.0,IDP Distribution,Action Animation Crime Drama SciFi,,/title/tt0275277/?ref_=bo_ge_table_13
940173,940173,914,Watchers,161.0,161.0,0,260820,0,19881202,91.0,Universal Pictures,Action Horror SciFi Thriller,,/title/tt0096425/?ref_=bo_ge_table_14
352207,929606,915,Simpatico,256.0,,1281813,0,0,20000128,106.0,Fine Line Features,Comedy Crime Drama,R,/title/tt0174204/?ref_=bo_ge_table_15
569874,904703,916,The Miseducation of Cameron Post,85.0,2.0,1474577,48638,0,20180718,91.0,FilmRise,Drama,,/title/tt6257174/?ref_=bo_ge_table_16
870290,870290,917,The Winter Guest,21.0,3.0,0,20533,0,19971225,108.0,Fine Line Features,Drama,R,/title/tt0120521/?ref_=bo_ge_table_17
5290051,870063,918,Darker Than Night,178.0,178.0,6160114,539867,0,20140814,110.0,Lionsgate,Horror,R,/title/tt3450116/?ref_=bo_ge_table_18
766464,766464,919,The Sum of Us,30.0,5.0,0,38479,0,19950310,100.0,The Samuel Goldwyn Company,Comedy Drama,R,/title/tt0111309/?ref_=bo_ge_table_19
20121538,746381,920,Pokémon Heroes,200.0,196.0,20867919,260372,0,20020713,80.0,Miramax,Action Adventure Animation Family Fantasy SciFi Thriller,,/title/tt0347791/?ref_=bo_ge_table_20
739104,739104,921,Rosencrantz & Guildenstern Are Dead,18.0,2.0,0,24004,0,19910208,117.0,Cinecom Pictures,Comedy Drama,,/title/tt0100519/?ref_=bo_ge_table_21
90625,735992,922,The Shape of Things,60.0,40.0,826617,173246,0,20030509,96.0,Focus Features,Comedy Drama Romance,R,/title/tt0308878/?ref_=bo_ge_table_22
717376,717376,923,And God Created Woman,385.0,385.0,0,393647,0,19880304,98.0,Vestron Pictures,Comedy Drama Romance,,/title/tt0092559/?ref_=bo_ge_table_23
665450,665450,924,American Buffalo,73.0,29.0,0,164109,0,19960913,88.0,The Samuel Goldwyn Company,Drama,R,/title/tt0115530/?ref_=bo_ge_table_24
656747,656747,925,SubUrbia,24.0,16.0,0,69365,0,19970207,121.0,Sony Pictures Classics,Comedy Drama,R,/title/tt0120238/?ref_=bo_ge_table_25
626057,626057,926,The House of Yes,54.0,4.0,0,63266,1500000,19971010,85.0,Miramax,Comedy Drama,R,/title/tt0119324/?ref_=bo_ge_table_26
623088,623088,927,Nancy Drew and the Hidden Staircase,,,0,0,0,20190315,89.0,Warner Bros.,Comedy Crime Drama Family Mystery,PG,/title/tt8323104/?ref_=bo_ge_table_27
510227,617236,928,The Celestine Prophecy,19.0,2.0,1127463,25297,0,20060419,99.0,RAM Entertainment,Adventure Drama,PG,/title/tt0398842/?ref_=bo_ge_table_28
