link_stub,rank,movie_title,lifetime_gross,max_theaters,opening_weekend,opening_theathers,release_date_x,distributor_x,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date_y,runtime,distributor_y,genres,rating
/title/tt0349903/?ref_=bo_ge_table_74,174,Ocean's Twelve,"$125,544,280","3,290","$39,153,380","3,290","Dec 10, 2004","Warner Bros.

",125544280,237200000,362744280,39153380,110000000,2004-12-09,125.0,Warner Bros.,"Crime, Thriller",PG-13
/title/tt1321511/?ref_=bo_ge_table_90,890,Oldboy,"$2,193,658",583,"$885,382",583,"Nov 27, 2013","FilmDistrict

",2193658,2993109,5186767,885382,30000000,2013-01-03,104.0,FilmDistrict,"Action, Drama, Mystery, Thriller",R
/title/tt0110722/?ref_=bo_ge_table_39,939,Oleanna,"$124,693",22,"$25,316",15,"Nov 4, 1994","The Samuel Goldwyn Company

",124693,124693,0,25316,0,1994-11-04,89.0,The Samuel Goldwyn Company,"Drama, Thriller",
/title/tt0479968/?ref_=bo_ge_table_97,597,One Missed Call,"$26,890,041","2,240","$12,511,473","2,240","Jan 4, 2008","Warner Bros.

",26890041,18957710,45847751,12511473,20000000,2008-01-04,87.0,Warner Bros.,"Horror, Mystery",PG-13
/title/tt0218922/?ref_=bo_ge_table_19,719,Original Sin,"$16,534,221","2,194","$6,402,741","2,194","Aug 3, 2001","Metro-Goldwyn-Mayer (MGM)

",16534221,18868099,35402320,6402741,42000000,2001-07-12,116.0,Metro-Goldwyn-Mayer (MGM),"Drama, Mystery, Romance, Thriller",R
/title/tt0102603/?ref_=bo_ge_table_28,628,Oscar,"$23,562,716","1,391","$5,091,027","1,388","Apr 26, 1991","Walt Disney Studios Motion Pictures

",23562716,23562716,0,5091027,0,1991-04-26,109.0,Walt Disney Studios Motion Pictures,"Comedy, Crime",
/title/tt0102609/?ref_=bo_ge_table_9,609,Other People's Money,"$25,682,090","1,249","$5,012,332","1,246","Oct 18, 1991","Warner Bros.

",25682090,25682090,0,5012332,0,1991-10-18,103.0,Warner Bros.,"Comedy, Drama, Romance",R
/title/tt1563742/?ref_=bo_ge_table_27,427,Overboard,"$50,316,123","2,006","$14,711,101","1,623","May 4, 2018","Pantelion Films

",50316123,40928790,91244913,14711101,12000000,2018-05-03,112.0,Pantelion Films,"Comedy, Romance",PG-13
/title/tt1109624/?ref_=bo_ge_table_96,296,Paddington,"$76,271,832","3,355","$18,966,676","3,303","Jan 16, 2015",-,76271832,206105851,282377683,18966676,55000000,2014-11-27,95.0,Dimension Films,"Adventure, Comedy, Family, Fantasy",PG
/title/tt4468740/?ref_=bo_ge_table_87,487,Paddington 2,"$40,891,591","3,702","$11,001,961","3,702","Jan 12, 2018","Warner Bros.

",40907738,187087054,227994792,11001961,0,2017-11-09,103.0,Warner Bros.,"Adventure, Comedy, Family, Fantasy",PG
/title/tt3622592/?ref_=bo_ge_table_56,556,Paper Towns,"$32,000,304","3,031","$12,650,140","3,031","Jul 24, 2015","Twentieth Century Fox

",32000304,53511996,85512300,12650140,12000000,2015-07-09,109.0,Twentieth Century Fox,"Adventure, Comedy, Drama, Mystery, Romance",PG-13
/title/tt0102631/?ref_=bo_ge_table_93,693,Paradise,"$18,634,643",918,"$38,778",2,"Sep 20, 1991","Walt Disney Studios Motion Pictures

",18634643,18634643,0,38778,0,1991-09-20,111.0,Walt Disney Studios Motion Pictures,Drama,
/title/tt0120784/?ref_=bo_ge_table_73,273,Payback,"$81,526,121","2,855","$21,221,526","2,729","Feb 5, 1999","Paramount Pictures

",81526121,80100000,161626121,21221526,90000000,1999-02-05,100.0,Paramount Pictures,"Action, Crime, Drama, Thriller",R
/title/tt0814255/?ref_=bo_ge_table_48,248,Percy Jackson & the Olympians: The Lightning Thief,"$88,768,303","3,396","$31,236,067","3,356","Feb 12, 2010","Twentieth Century Fox

",88768303,137728906,226497209,31236067,95000000,2010-02-10,118.0,Twentieth Century Fox,"Adventure, Family, Fantasy",PG
/title/tt1854564/?ref_=bo_ge_table_28,328,Percy Jackson: Sea of Monsters,"$68,559,554","3,080","$14,401,054","3,031","Aug 7, 2013","Twentieth Century Fox

",68559554,131290761,199850315,14401054,90000000,2013-08-07,106.0,Twentieth Century Fox,"Adventure, Family, Fantasy",PG
/title/tt0837563/?ref_=bo_ge_table_96,396,Pet Sematary,"$54,724,696","3,585","$24,502,775","3,585","Apr 5, 2019","Paramount Pictures

",54724696,58393530,113118226,24502775,21000000,2019-04-03,101.0,Paramount Pictures,"Horror, Mystery, Thriller",R
/title/tt2788732/?ref_=bo_ge_table_98,298,Pete's Dragon,"$76,233,151","3,702","$21,514,095","3,702","Aug 12, 2016","Walt Disney Studios Motion Pictures

",76233151,67462187,143695338,21514095,65000000,2016-08-10,102.0,Walt Disney Studios Motion Pictures,"Action, Adventure, Comedy, Drama, Family, Fantasy",PG
/title/tt0316396/?ref_=bo_ge_table_37,437,Peter Pan,"$48,462,608","2,813","$11,139,495","2,813","Dec 25, 2003","Universal Pictures

",48462608,73512403,121975011,11139495,100000000,2003-12-18,113.0,Universal Pictures,"Adventure, Family, Fantasy, Romance",PG
/title/tt5117670/?ref_=bo_ge_table_88,188,Peter Rabbit,"$115,253,424","3,725","$25,010,928","3,725","Feb 9, 2018","Sony Pictures Entertainment (SPE)

",115253424,236242642,351496066,25010928,50000000,2018-02-08,95.0,Sony Pictures Entertainment (SPE),"Adventure, Animation, Comedy, Crime, Drama, Family, Fantasy",PG
/title/tt8376234/?ref_=bo_ge_table_93,493,Peter Rabbit 2: The Runaway,"$40,501,717","3,346","$10,101,066","3,346","Jun 11, 2021","Sony Pictures Entertainment (SPE)

",40501717,113400000,153901717,10101066,0,2021-03-26,93.0,Sony Pictures Entertainment (SPE),"Adventure, Animation, Comedy, Crime, Drama, Family, Fantasy",PG
/title/tt0133152/?ref_=bo_ge_table_11,111,Planet of the Apes,"$180,011,740","3,530","$68,532,960","3,500","Jul 27, 2001","Twentieth Century Fox

",180011740,182200000,362211740,68532960,100000000,2001-07-27,119.0,Twentieth Century Fox,"Action, Adventure, Sci-Fi, Thriller",PG-13
/title/tt2058673/?ref_=bo_ge_table_84,584,Point Break,"$28,782,481","2,910","$9,800,252","2,910","Dec 25, 2015","Warner Bros.

",28782481,104936230,133718711,9800252,105000000,2015-12-02,114.0,Warner Bros.,"Action, Adventure, Crime, Sport, Thriller",PG-13
/title/tt0107843/?ref_=bo_ge_table_69,569,Point of No Return,"$30,038,362","1,659","$7,160,389","1,545","Mar 19, 1993","Warner Bros.

",30038362,30038362,0,7160389,0,1993-03-19,109.0,Warner Bros.,"Action, Crime, Drama, Thriller",R
/title/tt0235679/?ref_=bo_ge_table_15,715,Pokémon 3 the Movie: Spell of the Unown,"$17,052,128","2,675","$8,240,752","2,675","Apr 6, 2001","Warner Bros.

",17052128,51359147,68411275,8240752,16000000,2001-04-06,93.0,Warner Bros.,"Action, Adventure, Animation, Family, Fantasy, Sci-Fi",G
/title/tt5884052/?ref_=bo_ge_table_39,139,Pokémon Detective Pikachu,"$144,105,346","4,248","$54,365,242","4,202","May 10, 2019","Warner Bros.

",144174568,289303033,433477601,54365242,150000000,2019-05-03,104.0,Warner Bros.,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",PG
/title/tt0347791/?ref_=bo_ge_table_20,920,Pokémon Heroes,"$746,381",200,"$260,372",196,"May 16, 2003","Miramax

",746381,20121538,20867919,260372,0,2002-07-13,80.0,Miramax,"Action, Adventure, Animation, Family, Fantasy, Sci-Fi, Thriller",
/title/tt0210234/?ref_=bo_ge_table_66,466,Pokémon the Movie 2000,"$43,758,684","2,752","$19,575,608","2,752","Jul 21, 2000","Warner Bros.

",43758684,90190586,133949270,19575608,30000000,2000-07-21,84.0,Warner Bros.,"Action, Adventure, Animation, Family, Fantasy",
/title/tt1029360/?ref_=bo_ge_table_43,443,Poltergeist,"$47,425,125","3,242","$22,620,386","3,240","May 22, 2015","Twentieth Century Fox

",47425125,48012869,95437994,22620386,35000000,2015-05-20,93.0,Twentieth Century Fox,"Horror, Thriller",PG-13
/title/tt0081353/?ref_=bo_ge_table_30,430,Popeye,"$49,823,037",901,"$6,310,520",901,"Dec 12, 1980","Paramount Pictures

",49823037,49823037,0,6310520,0,1980-12-12,114.0,Paramount Pictures,"Adventure, Comedy, Family, Fantasy, Musical, Romance",
/title/tt2062622/?ref_=bo_ge_table_61,961,Postman Pat: The Movie,"$1,519",2,"$1,254",2,"Jun 27, 2014","Shout! Factory

",1519,7100936,7102455,1254,0,2014-05-23,88.0,Shout! Factory,"Animation, Comedy, Family",
/title/tt3717490/?ref_=bo_ge_table_58,258,Power Rangers,"$85,364,450","3,693","$40,300,288","3,693","Mar 24, 2017","Lionsgate

",85364450,56972790,142337240,40300288,100000000,2017-03-22,124.0,Lionsgate,"Action, Adventure, Fantasy, Sci-Fi",PG-13
/title/tt0105165/?ref_=bo_ge_table_75,675,Prelude to a Kiss,"$20,006,730","1,248","$5,273,395","1,247","Jul 10, 1992","Twentieth Century Fox

",20006730,2690961,22697691,5273395,0,1992-07-10,105.0,Twentieth Century Fox,"Comedy, Fantasy, Romance",PG-13
/title/tt0822847/?ref_=bo_ge_table_79,579,Priest,"$29,137,000","2,864","$14,953,664","2,864","May 13, 2011","Screen Gems

",29137000,49172505,78309505,14953664,60000000,2011-05-06,87.0,Screen Gems,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller",PG-13
/title/tt0119942/?ref_=bo_ge_table_7,507,Primary Colors,"$39,001,187","1,976","$12,045,395","1,965","Mar 20, 1998","Universal Pictures

",39001187,13089000,52090187,12045395,65000000,1998-03-20,143.0,Universal Pictures,"Comedy, Drama",R
